0.249,0.010619,0.11292,0.06672,0.421
0.287,0.010562,0.11124,0.06636,0.48
0.331,0.010523,0.10848,0.06612,0.542
0.373,0.010523,0.10536,0.06612,0.594
0.414,0.010562,0.102,0.06636,0.636
0.452,0.010619,0.09828,0.06672,0.666
0.498,0.010485,0.09132,0.06588,0.689
0.536,0.010199,0.0834,0.06408,0.697
0.583,0.0093965,0.07092,0.05904,0.7
0.624,0.0083843,0.05892,0.05268,0.698
0.653,0.0077922,0.0522,0.04896,0.697
0.702,0.0068564,0.0426,0.04308,0.694
0.74,0.005997,0.03456,0.03768,0.679
0.782,0.0051566,0.02664,0.0324,0.642
0.824,0.0044118,0.01932,0.02772,0.573
