0.249,0.008849,0.0941,0.0556,0.421
0.287,0.0088013,0.0927,0.0553,0.48
0.331,0.0087694,0.0904,0.0551,0.542
0.373,0.0087694,0.0878,0.0551,0.594
0.414,0.0088013,0.085,0.0553,0.636
0.452,0.008849,0.0819,0.0556,0.666
0.498,0.0087376,0.0761,0.0549,0.689
0.536,0.0084989,0.0695,0.0534,0.697
0.583,0.0078304,0.0591,0.0492,0.7
0.624,0.0069869,0.0491,0.0439,0.698
0.653,0.0064935,0.0435,0.0408,0.697
0.702,0.0057137,0.0355,0.0359,0.694
0.74,0.0049975,0.0288,0.0314,0.679
0.782,0.0042972,0.0222,0.027,0.642
0.824,0.0036765,0.0161,0.0231,0.573
