xflr5 v6.47

Plane name :        Custer1-dR03
Polar name :        T1-25.0 m/s-VLM2-15.0kg-x39.1mm
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000  -0.121848   0.004596   0.015135   0.019730   0.025354   0.003333   0.227445  -0.010315  -0.010320   25.0000     0.6858
   -3.800     0.000  -0.101547   0.003833   0.015036   0.018868   0.025346   0.003298   0.214155  -0.010319  -0.010324   25.0000     0.7692
   -3.600     0.000  -0.081237   0.003134   0.014901   0.018035   0.025337   0.003263   0.200852  -0.010322  -0.010327   25.0000     0.8943
   -3.400     0.000  -0.060916   0.002498   0.014763   0.017261   0.025327   0.003227   0.187536  -0.010325  -0.010330   25.0000     1.1031
   -3.200     0.000  -0.040587   0.001927   0.014681   0.016608   0.025317   0.003192   0.174209  -0.010328  -0.010332   25.0000     1.5211
   -3.000     0.000  -0.020250   0.001421   0.014579   0.016000   0.025306   0.003156   0.160870  -0.010330  -0.010334   25.0000     2.7791
   -2.800     0.000   0.000094   0.000978   0.014465   0.015443   0.025294   0.003120   0.147521  -0.010332  -0.010336   25.0000  -539.2604
   -2.600     0.000   0.020444   0.000600   0.014381   0.014981   0.025282   0.003085   0.134162  -0.010333  -0.010337   25.0000    -2.2185
   -2.400     0.000   0.040799   0.000287   0.014272   0.014559   0.025269   0.003049   0.120794  -0.010334  -0.010338   25.0000    -0.9778
   -2.200     0.000   0.061159   0.000038   0.014206   0.014243   0.025256   0.003013   0.107417  -0.010335  -0.010339   25.0000    -0.5630
   -2.000     0.000   0.081521  -0.000147   0.014122   0.013975   0.025242   0.002977   0.094032  -0.010335  -0.010339   25.0000    -0.3554
   -1.800     0.000   0.101886  -0.000267   0.014041   0.013774   0.025227   0.002942   0.080640  -0.010335  -0.010338   25.0000    -0.2307
   -1.600     0.000   0.122253  -0.000322   0.013973   0.013651   0.025212   0.002906   0.067241  -0.010335  -0.010338   25.0000    -0.1476
   -1.400     0.000   0.142619  -0.000313   0.013913   0.013600   0.025196   0.002870   0.053836  -0.010334  -0.010337   25.0000    -0.0882
   -1.200     0.000   0.162986  -0.000239   0.013841   0.013602   0.025179   0.002834   0.040425  -0.010333  -0.010335   25.0000    -0.0437
   -1.000     0.000   0.183351  -0.000100   0.013783   0.013683   0.025162   0.002798   0.027010  -0.010331  -0.010334   25.0000    -0.0090
   -0.800     0.000   0.203713   0.000103   0.013734   0.013837   0.025144   0.002762   0.013590  -0.010329  -0.010332   25.0000     0.0187
   -0.600     0.000   0.224073   0.000372   0.013683   0.014055   0.025126   0.002726   0.000167  -0.010327  -0.010329   25.0000     0.0414
   -0.400     0.000   0.244428   0.000704   0.013630   0.014334   0.025107   0.002690  -0.013259  -0.010324  -0.010326   25.0000     0.0603
   -0.200     0.000   0.264778   0.001102   0.013589   0.014690   0.025087   0.002654  -0.026688  -0.010321  -0.010323   25.0000     0.0763
    0.000     0.000   0.285123   0.001564   0.013554   0.015118   0.025067   0.002618  -0.040119  -0.010318  -0.010319   25.0000     0.0900
    0.200     0.000   0.305460   0.002090   0.013505   0.015596   0.025046   0.002582  -0.053551  -0.010314  -0.010315   25.0000     0.1019
    0.400     0.000   0.325789   0.002681   0.013459   0.016141   0.025025   0.002546  -0.066983  -0.010310  -0.010311   25.0000     0.1123
    0.600     0.000   0.346110   0.003337   0.013423   0.016760   0.025003   0.002510  -0.080416  -0.010305  -0.010306   25.0000     0.1215
    0.800     0.000   0.366421   0.004057   0.013368   0.017425   0.024980   0.002474  -0.093847  -0.010300  -0.010301   25.0000     0.1297
    1.000     0.000   0.386721   0.004841   0.013283   0.018124   0.024957   0.002438  -0.107278  -0.010295  -0.010295   25.0000     0.1370
    1.200     0.000   0.407010   0.005690   0.013182   0.018872   0.024933   0.002402  -0.120706  -0.010289  -0.010289   25.0000     0.1436
    1.400     0.000   0.427287   0.006603   0.013085   0.019687   0.024909   0.002366  -0.134132  -0.010283  -0.010283   25.0000     0.1495
    1.600     0.000   0.447550   0.007580   0.012983   0.020562   0.024884   0.002330  -0.147554  -0.010277  -0.010276   25.0000     0.1550
    1.800     0.000   0.467798   0.008620   0.012882   0.021503   0.024858   0.002294  -0.160973  -0.010270  -0.010269   25.0000     0.1599
    2.000     0.000   0.488032   0.009725   0.012802   0.022527   0.024832   0.002258  -0.174388  -0.010263  -0.010262   25.0000     0.1645
    2.200     0.000   0.508249   0.010894   0.012734   0.023628   0.024805   0.002222  -0.187797  -0.010255  -0.010254   25.0000     0.1687
    2.400     0.000   0.528449   0.012126   0.012674   0.024799   0.024778   0.002186  -0.201201  -0.010247  -0.010246   25.0000     0.1725
    2.600     0.000   0.548632   0.013421   0.012645   0.026067   0.024750   0.002150  -0.214598  -0.010239  -0.010238   25.0000     0.1761
    2.800     0.000   0.568795   0.014780   0.012648   0.027428   0.024721   0.002115  -0.227990  -0.010230  -0.010229   25.0000     0.1795
    3.000     0.000   0.588939   0.016203   0.012672   0.028874   0.024692   0.002079  -0.241373  -0.010221  -0.010219   25.0000     0.1826
    3.200     0.000   0.609062   0.017688   0.012707   0.030395   0.024662   0.002043  -0.254749  -0.010212  -0.010210   25.0000     0.1855
    3.400     0.000   0.629163   0.019236   0.012742   0.031978   0.024631   0.002007  -0.268116  -0.010202  -0.010200   25.0000     0.1882
    3.600     0.000   0.649242   0.020847   0.012779   0.033626   0.024600   0.001972  -0.281474  -0.010192  -0.010189   25.0000     0.1908
    3.800     0.000   0.669298   0.022520   0.012817   0.035337   0.024569   0.001936  -0.294822  -0.010181  -0.010179   25.0000     0.1932
    4.000     0.000   0.689329   0.024256   0.012858   0.037114   0.024537   0.001901  -0.308160  -0.010170  -0.010168   25.0000     0.1955
    4.200     0.000   0.709335   0.026054   0.012909   0.038963   0.024504   0.001865  -0.321487  -0.010159  -0.010156   25.0000     0.1977
    4.400     0.000   0.729315   0.027914   0.012980   0.040894   0.024470   0.001830  -0.334802  -0.010147  -0.010144   25.0000     0.1997
    4.600     0.000   0.749268   0.029836   0.013061   0.042896   0.024436   0.001794  -0.348104  -0.010135  -0.010132   25.0000     0.2017
    4.800     0.000   0.769193   0.031819   0.013134   0.044953   0.024402   0.001759  -0.361394  -0.010123  -0.010120   25.0000     0.2035
    5.000     0.000   0.789089   0.033863   0.013205   0.047069   0.024367   0.001724  -0.374670  -0.010110  -0.010107   25.0000     0.2053
    5.200     0.000   0.808955   0.035969   0.013281   0.049250   0.024331   0.001689  -0.387933  -0.010097  -0.010093   25.0000     0.2069
    5.400     0.000   0.828792   0.038135   0.013366   0.051501   0.024295   0.001654  -0.401180  -0.010084  -0.010080   25.0000     0.2085
    5.600     0.000   0.848596   0.040362   0.013465   0.053828   0.024258   0.001619  -0.414413  -0.010070  -0.010066   25.0000     0.2101
    5.800     0.000   0.868368   0.042650   0.013569   0.056219   0.024221   0.001584  -0.427629  -0.010055  -0.010052   25.0000     0.2115
    6.000     0.000   0.888107   0.044997   0.013664   0.058661   0.024183   0.001549  -0.440829  -0.010041  -0.010037   25.0000     0.2129
    6.200     0.000   0.907812   0.047405   0.013752   0.061157   0.024144   0.001514  -0.454011  -0.010026  -0.010022   25.0000     0.2143
    6.400     0.000   0.927483   0.049871   0.013846   0.063717   0.024105   0.001479  -0.467175  -0.010010  -0.010006   25.0000     0.2156
