Alpha, V, dE, Xu, Xw, Zu, Zw, Zq, Mu, Mw, Mq, Yv, Yp, Yr, Lv, Lp, Lr, Nv, Np, Nr, Xde, Yde, Zde, Lde, Mde, Nde, CXu, CXa, CZu, CLa, CLq, Cmu, Cma, Cmq, CYb, CYp, CYr, Clb, Clp, Clr, Cnb, Cnp, Cnr, CXde, CYde, CZde, Clde, Cmde, Cnde, 
29.7913, 10.64336, -24.50, -2.7022, 12.181, -30.825, -35.338, -25.734, 0.03082, -12.345, -17.476, -2.7563, 3.3402, 3.7135, 0.1097, -14.322, 17.372, 2.6429, -13.438, -3.6133, -0.88228, 3.162e-10, -164.66, 4.333e-10, -156.42, -1.5261e-08, -0.4145, 1.8686, -0.20417, 5.4207, 22.59, 0.013527, -5.4183, -43.892, -0.42281, 0.34158, 0.37976, 0.0056091, -0.4882, 0.59218, 0.13513, -0.45806, -0.12317, -0.012716, 4.5571e-12, -2.3732, 2.0816e-12, -6.4503, -7.3316e-11, 
28.2876, 10.79665, -24.00, -1.6665, 6.8424, -30.591, -31.803, -18.615, 0.033017, -10.598, -14.873, -3.3372, 2.436, 4.0512, 0.47655, -14.083, 16.717, 3.4815, -12.281, -4.1973, -77.26, 6.0917e-10, -100.45, 1.8112e-11, -133.96, -7.3526e-10, -0.252, 1.0347, -0.22914, 4.8092, 16.109, 0.014285, -4.5852, -36.825, -0.50464, 0.24557, 0.40841, 0.024021, -0.47325, 0.56177, 0.17549, -0.41269, -0.14105, -1.0821, 8.532e-12, -1.407, 8.4559e-14, -5.3683, -3.4327e-12, 
27.5937, 10.87419, -23.50, -1.8038, 7.6233, -30.133, -32.711, -19.459, 0.032125, -10.484, -14.736, -3.6516, 2.0988, 4.228, 0.52859, -14.11, 16.515, 3.8431, -11.868, -4.4338, -63.104, 1.8131e-10, -108.57, -1.2461e-09, -133.32, -2.5674e-09, -0.27083, 1.1446, -0.1899, 4.9113, 16.719, 0.0138, -4.5038, -36.225, -0.54826, 0.21007, 0.42319, 0.026454, -0.47077, 0.55102, 0.19233, -0.39598, -0.14793, -0.87127, 2.5033e-12, -1.499, -5.735e-12, -5.2667, -1.1816e-11, 
26.9992, 10.94095, -23.00, -1.6585, 18.553, -29.888, -33.326, -19.741, 0.03071, -10.724, -15.043, -3.3515, 2.4072, 4.1166, 0.34452, -14.328, 16.46, 3.475, 2.0892, -4.2884, -38.428, 9.4078e-11, -111.56, -1.0454e-10, -134.85, 5.5186e-08, -0.24749, 2.7686, -0.17839, 4.973, 16.857, 0.013112, -4.5787, -36.754, -0.50013, 0.23948, 0.40953, 0.017137, -0.47513, 0.54585, 0.17285, 0.069278, -0.14221, -0.52412, 1.2831e-12, -1.5215, -4.7526e-13, -5.2625, 2.5089e-10, 
26.5886, 10.98909, -22.50, -2.0435, 13.044, -29.472, -36.552, -24.275, 0.030194, -10.817, -15.375, -3.2558, 2.5783, 4.1224, 0.21431, -14.515, 16.419, 3.327, -12.205, -4.2293, 14.105, 2.4323e-11, -154.18, 8.5551e-10, -139.91, 8.4898e-08, -0.3036, 1.9379, -0.13458, 5.4306, 20.638, 0.012835, -4.5983, -37.402, -0.48372, 0.25537, 0.40831, 0.010613, -0.47923, 0.54207, 0.16476, -0.40296, -0.13963, 0.19069, 3.2884e-13, -2.0845, 3.8554e-12, -5.4121, 3.826e-10, 
26.9193, 10.94152, -22.00, -6.9494, 75.586, -27.167, -69.964, -76.508, 0.030001, -12.789, -18.526, -2.3993, 3.5814, 3.6037, -0.43588, -15.023, 16.976, 2.1244, -13.373, -3.3969, 915.16, 4.1161e-10, -639.2, -6.0743e-11, -168.23, 8.2108e-08, -1.037, 11.279, 0.22742, 10.44, 65.329, 0.012809, -5.4603, -45.263, -0.35802, 0.35627, 0.35849, -0.02168, -0.49814, 0.5629, 0.10567, -0.44344, -0.11264, 12.481, 5.6134e-12, -8.7172, -2.7613e-13, -6.5642, 3.7325e-10, 
28.8541, 10.71200, -21.00, -37.691, 1938.8, -11.1, -1135.9, -1710.8, 0.027164, -52.05, -78.701, 12.387, 7.4719, -11.068, -11.895, -17.427, 28.942, -15.713, -17.897, 14.392, 26030, -1.5898e-07, -15056, 1.1902e-07, -707.46, 1.5905e-07, -5.7446, 295.49, 2.7747, 173.13, 1492.1, 0.011846, -22.698, -196.4, 1.888, 0.75921, -1.1246, -0.60434, -0.59025, 0.98024, -0.79831, -0.60616, 0.48744, 370.36, -2.262e-09, -214.22, 5.6447e-10, -28.801, 7.5434e-10, 
22.4319, 11.59500, -20.50, -4.4753, 31.299, -26.178, -44.866, -33.507, 0.025154, -8.5781, -12.06, -4.6799, 1.1565, 5.2116, 0.90597, -14.894, 14.702, 5.5263, -9.9373, -6.0739, 323.9, -1.9346e-11, -251.12, -1.3529e-09, -112.69, -2.4617e-08, -0.63015, 4.4072, 0.12611, 6.3175, 26.998, 0.010134, -3.4559, -27.804, -0.65896, 0.10856, 0.48922, 0.042522, -0.46603, 0.46003, 0.25938, -0.31094, -0.19006, 3.9334, -2.3493e-13, -3.0496, -5.4762e-12, -3.9157, -9.9648e-11, 
22.4580, 11.59227, -20.00, -1.5788, 8.3069, -27.388, -36.152, -19.677, 0.02521, -9.3143, -13.243, -4.7365, 1.3561, 5.32, 0.73718, -15.023, 14.837, 5.4298, -10.197, -6.0475, -34.575, 9.6655e-11, -115.61, 8.9371e-10, -124.29, -2.7444e-08, -0.22236, 1.1699, -0.04342, 5.0916, 15.859, 0.010159, -3.7534, -30.539, -0.66709, 0.12733, 0.49951, 0.034608, -0.47017, 0.46435, 0.25491, -0.31914, -0.18927, -0.42007, 1.1743e-12, -1.4046, 3.6194e-12, -4.3207, -1.1114e-10, 
23.2094, 11.46417, -19.50, -1.9911, 10.022, -27.645, -38.473, -24.372, 0.025628, -11.549, -16.782, -4.5455, 1.6214, 5.1805, 0.31287, -15.013, 15.431, 4.9906, -10.651, -5.6662, -5.6985, 1.6031e-11, -161.18, 1.1132e-09, -157.58, -4.4022e-08, -0.28356, 1.4272, -0.037363, 5.479, 19.862, 0.010443, -4.7059, -39.133, -0.64734, 0.15394, 0.49184, 0.014852, -0.47511, 0.48834, 0.23691, -0.33706, -0.17932, -0.070789, 1.9914e-13, -2.0022, 4.6095e-12, -5.6011, -1.8229e-10, 
22.3283, 11.60962, -19.00, -1.8749, 8.7802, -27.216, -38.107, -22.911, 0.024756, -11.021, -16.045, -4.0714, 1.8583, 4.8821, 0.14297, -15.328, 15.29, 4.4055, -10.856, -5.2828, -19.397, 9.9763e-12, -147.72, -1.4452e-09, -151.51, 1.8771e-08, -0.26367, 1.2348, -0.02487, 5.359, 18.438, 0.0099613, -4.4346, -36.944, -0.57255, 0.17422, 0.45772, 0.0067021, -0.47901, 0.47783, 0.20651, -0.33925, -0.16509, -0.23496, 1.2084e-13, -1.7893, -5.8354e-12, -5.2513, 7.5793e-11, 
18.7231, 12.35240, -18.50, -9.8136, 66.114, -22.399, -57.675, -49.474, 0.020116, -7.5269, -10.443, -6.9942, 0.24211, 7.2425, 1.4602, -15.935, 13.088, 8.6762, -8.4115, -8.9775, 986.49, -1.3945e-10, -443.69, 5.6976e-10, -101.58, 1.7155e-08, -1.2971, 8.7385, 0.39852, 7.6231, 37.42, 0.0076076, -2.8465, -22.6, -0.92445, 0.021333, 0.63817, 0.064335, -0.46803, 0.38442, 0.38225, -0.24706, -0.26368, 10.556, -1.4922e-12, -4.7475, 2.0322e-12, -3.11, 6.1188e-11, 
20.5884, 11.93219, -18.00, -1.3746, 6.9328, -26.418, -38.137, -20.724, 0.022314, -10.21, -14.85, -4.2935, 1.8019, 5.2162, 0.23672, -15.803, 14.666, 4.7613, -10.488, -5.7615, -48.233, 7.3009e-11, -127.75, 1.0017e-10, -142.57, 6.2685e-08, -0.18808, 0.9486, -0.014979, 5.2182, 16.227, 0.0087358, -3.9973, -33.268, -0.58747, 0.16437, 0.47582, 0.010797, -0.4805, 0.44594, 0.21716, -0.3189, -0.17519, -0.55309, 8.3721e-13, -1.4649, 3.8287e-13, -4.6777, 2.3961e-10, 
20.4029, 11.96860, -17.50, -0.95031, 4.9063, -26.47, -38.314, -20.584, 0.021968, -10.966, -16.119, -5.166, 1.3594, 5.9215, 0.38913, -15.805, 14.488, 5.879, -9.9754, -6.7095, -86.999, -7.306e-11, -126.31, -4.9e-10, -155.41, 6.144e-08, -0.12963, 0.66927, -0.032926, 5.2264, 16.068, 0.0085744, -4.2803, -36.001, -0.7047, 0.12363, 0.53851, 0.017694, -0.47912, 0.4392, 0.26732, -0.30239, -0.20339, -0.99157, -8.327e-13, -1.4396, -1.8616e-12, -5.0679, 2.3342e-10, 
