Alpha, V, dE, Xu, Xw, Zu, Zw, Zq, Mu, Mw, Mq, Yv, Yp, Yr, Lv, Lp, Lr, Nv, Np, Nr, Xde, Yde, Zde, Lde, Mde, Nde, CXu, CXa, CZu, CLa, CLq, Cmu, Cma, Cmq, CYb, CYp, CYr, Clb, Clp, Clr, Cnb, Cnp, Cnr, CXde, CYde, CZde, Clde, Cmde, Cnde, 
5.6853, 18.79826, -6.50, -43.609, 477.89, -12.082, -110.45, -110.59, 0.0024412, -11.9, -17.461, -12.45, -1.5089, 14.35, -0.90218, -25.828, 10.799, 15.6, -3.4312, -17.911, 12063, -2.7914e-09, -1462.9, 2.4113e-09, -250.87, -5.4951e-08, -3.7875, 41.505, 0.40102, 9.5925, 54.963, 0.00060663, -2.9571, -24.83, -1.0813, -0.087367, 0.8309, -0.026119, -0.49848, 0.20842, 0.45162, -0.066224, -0.34568, 55.732, -1.2897e-11, -6.7588, 3.7136e-12, -3.3163, -8.4628e-11, 
6.9541, 17.52254, -6.00, -2.1607, 26.038, -17.314, -66.473, -40.03, 0.004382, -17.24, -27.013, -6.6552, 1.0022, 8.5335, -2.1446, -24.443, 12.617, 7.2221, -6.9383, -9.2767, 528.34, -8.6862e-10, -421, -1.404e-09, -371.41, 1.3264e-07, -0.20133, 2.4261, 0.056059, 6.1936, 21.343, 0.0011682, -4.5962, -41.211, -0.62009, 0.062251, 0.53007, -0.066607, -0.50611, 0.26123, 0.22431, -0.14366, -0.19208, 2.8094, -4.6188e-12, -2.2386, -2.4886e-12, -5.6507, 2.351e-10, 
5.8807, 18.52427, -5.50, -0.67966, 4.3526, -16.586, -65.64, -33.722, 0.0023949, -15.812, -24.472, -7.6389, 0.79371, 9.722, -1.7957, -25.838, 11.785, 8.6309, -6.4092, -10.974, -26.134, -7.1433e-11, -340.28, 2.216e-09, -352.62, 8.8297e-08, -0.059902, 0.38362, 0.031785, 5.7853, 17.008, 0.00060394, -3.9874, -35.314, -0.67326, 0.046636, 0.57124, -0.052755, -0.50605, 0.23082, 0.25356, -0.12553, -0.21494, -0.12434, -3.3987e-13, -1.619, 3.5145e-12, -4.8004, 1.4004e-10, 
5.5068, 18.92326, -5.00, -0.91334, 6.1073, -16.259, -68.344, -36.642, 0.0016774, -17.294, -26.995, -8.4271, 0.80377, 10.686, -2.132, -26.475, 12.026, 9.5046, -6.3486, -12.049, 41.719, -1.9075e-10, -389.19, 5.0227e-10, -398.75, -8.4025e-08, -0.078801, 0.52692, 0.028447, 5.8965, 18.091, 0.00041407, -4.2693, -38.135, -0.72707, 0.046232, 0.61465, -0.061315, -0.50761, 0.23056, 0.27334, -0.12172, -0.231, 0.19021, -8.6968e-13, -1.7745, 7.6333e-13, -5.2018, -1.277e-10, 
5.2328, 19.22308, -4.50, -3.424, 39.321, -15.811, -74.23, -46.146, 0.0013879, -19.58, -30.958, -7.6215, 1.4881, 9.9257, -2.6536, -27.075, 12.502, 8.1684, -7.1619, -10.711, 1086.4, -1.661e-09, -543.57, 1.0744e-09, -467.39, -1.275e-07, -0.29081, 3.3396, 0.044136, 6.3045, 22.428, 0.00033727, -4.758, -43.051, -0.64731, 0.084259, 0.562, -0.075124, -0.511, 0.23596, 0.23125, -0.13517, -0.20216, 4.7999, -7.3386e-12, -2.4016, 1.5824e-12, -5.9085, -1.8777e-10, 
4.3096, 20.37919, -4.00, -0.56332, 3.9839, -15.21, -73.945, -39.392, -0.00081416, -18.799, -29.363, -9.4237, 0.30195, 11.839, -2.6744, -28.587, 12.161, 10.561, -5.3971, -13.264, -30.965, 2.1605e-11, -451.41, -7.3083e-10, -467.63, 2.1503e-08, -0.04513, 0.31916, 0.015557, 5.924, 18.059, -0.00018662, -4.3092, -38.516, -0.75497, 0.016127, 0.63233, -0.07142, -0.50894, 0.2165, 0.28204, -0.096085, -0.23615, -0.12173, 8.4931e-14, -1.7746, -9.5767e-13, -5.2598, 2.8177e-11, 
3.6748, 21.27782, -3.50, -0.56909, 4.6758, -14.592, -77.204, -40.945, -0.0021802, -19.466, -30.445, -10.506, 0.045484, 13.161, -2.8491, -29.899, 12.081, 12.067, -4.8536, -15.096, -4.7172, 2.575e-13, -488.54, -5.0645e-10, -505.14, -2.6677e-08, -0.043666, 0.35877, 0.012382, 5.9239, 17.978, -0.00047866, -4.2736, -38.249, -0.80615, 0.0023267, 0.67324, -0.072871, -0.50981, 0.206, 0.30864, -0.082759, -0.2574, -0.017011, 9.2857e-16, -1.7617, -6.0878e-13, -5.212, -3.2066e-11, 
2.9817, 22.41978, -3.00, -0.6822, 5.3473, -13.877, -80.96, -42.278, -0.0039578, -19.88, -31.011, -9.3228, 0.18468, 11.831, -3.0441, -31.566, 11.976, 10.32, -4.8038, -13.104, 36.616, -2.8645e-12, -527.11, 3.8029e-10, -541.47, 3.0089e-08, -0.049679, 0.3894, 0.0091187, 5.8957, 17.618, -0.00082465, -4.1422, -36.976, -0.67891, 0.0089659, 0.57439, -0.073893, -0.51082, 0.1938, 0.25052, -0.077739, -0.21205, 0.11893, -9.3044e-15, -1.7121, 4.1174e-13, -5.0322, 3.2578e-11, 
2.3583, 23.60304, -2.50, -0.62738, 5.0491, -13.202, -85.18, -44.219, -0.0056746, -20.78, -32.432, -9.7463, 0.15165, 12.399, -3.2812, -33.302, 11.942, 10.738, -4.5253, -13.662, 22.992, -1.1274e-11, -578.57, -9.6132e-10, -595.73, -1.7189e-08, -0.043397, 0.34925, 0.0067587, 5.892, 17.503, -0.0011231, -4.1127, -36.731, -0.67416, 0.0069933, 0.57175, -0.075655, -0.51189, 0.18356, 0.24758, -0.06956, -0.21001, 0.067382, -3.3038e-14, -1.6956, -9.3908e-13, -4.9953, -1.6792e-11, 
1.7833, 24.88124, -2.00, -0.49125, 3.8796, -12.546, -90.117, -46.973, -0.0072313, -22.17, -34.664, -11.107, -0.1881, 14.049, -3.6723, -35.178, 12.108, 12.41, -3.8954, -15.689, -31.13, 1.1585e-11, -650.45, 2.5272e-09, -671.58, 2.728e-08, -0.032235, 0.25457, 0.0046344, 5.9133, 17.638, -0.0013577, -4.1624, -37.243, -0.72883, -0.0082285, 0.61456, -0.080324, -0.51295, 0.17656, 0.27145, -0.056802, -0.22878, -0.082096, 3.0551e-14, -1.7154, 2.2216e-12, -5.0675, 2.3982e-11, 
1.0219, 26.94816, -1.50, -0.4517, 3.4489, -11.608, -96.45, -48.71, -0.0096758, -22.623, -35.218, -11.219, -0.25954, 14.267, -3.7418, -38.139, 11.767, 12.498, -3.6587, -15.895, -44.517, 4.189e-12, -714.75, -1.5306e-09, -735.73, 4.078e-07, -0.027366, 0.20895, 0.0024873, 5.8434, 16.887, -0.0016773, -3.9216, -34.935, -0.67971, -0.010483, 0.57626, -0.075566, -0.51347, 0.15843, 0.25241, -0.049258, -0.214, -0.10008, 9.4177e-15, -1.6069, -1.147e-12, -4.7327, 3.0561e-10, 
0.4761, 28.79817, -1.00, -0.3527, 3.1798, -10.882, -103.74, -53.033, -0.012427, -24.684, -38.486, -11.614, -0.37992, 14.771, -4.2824, -40.858, 12.091, 12.555, -3.4272, -15.986, -85.027, 1.6699e-11, -840.82, -9.598e-10, -861.73, -5.0878e-08, -0.019996, 0.18027, 0.0010818, 5.8816, 17.205, -0.0020158, -4.004, -35.725, -0.65844, -0.014359, 0.55828, -0.080927, -0.51474, 0.15232, 0.23726, -0.043178, -0.2014, -0.16739, 3.2874e-14, -1.6553, -6.2983e-13, -4.8539, -3.3387e-11, 
0.2622, 29.79591, -0.50, -3.6232, 93.31, -10.51, -113.78, -65.439, -0.01336, -30.116, -47.362, -18.334, -1.9136, 22.639, -6.587, -42.816, 14.661, 19.052, -1.9697, -23.666, 4208.8, 3.4944e-10, -1178.7, 2.0078e-09, -1119.7, -3.9137e-07, -0.19853, 5.1129, 0.0014125, 6.2346, 20.519, -0.0020947, -4.7215, -42.492, -1.0046, -0.069905, 0.82699, -0.12031, -0.52135, 0.17852, 0.34799, -0.023985, -0.28817, 7.74, 6.4262e-13, -2.1677, 1.2308e-12, -5.8914, -2.3991e-10, 
-0.4695, 33.11901, 0.00, -0.52473, 3.1621, -9.5006, -120.04, -63.882, -0.017376, -29.12, -47.46, -15.552, -3.9339, 19.853, -5.9769, -51.063, 13.805, 17.251, 1.0018, -22.035, -29.528, 3.0118e-11, -1197.1, 4.3765e-10, -1232.8, 5.0518e-08, -0.025868, 0.15588, -0.0010874, 5.9174, 18.021, -0.0024509, -4.1073, -38.307, -0.76667, -0.12928, 0.65245, -0.098214, -0.55938, 0.15123, 0.28347, 0.010975, -0.24139, -0.043952, 4.483e-14, -1.7818, 2.1714e-13, -5.2505, 2.5065e-11, 
-1.3533, 39.67729, 0.50, -0.50941, 2.6919, -7.9827, -142.83, -72.67, -0.023329, -33.704, -52.714, -16.64, -1.4911, 21.154, -6.245, -56.712, 13.304, 18.306, -1.4476, -23.291, -61.682, 1.033e-11, -1581.8, -1.4862e-09, -1624, -6.2727e-08, -0.020961, 0.11077, -0.0029166, 5.8771, 17.112, -0.0027466, -3.9681, -35.515, -0.68473, -0.040905, 0.58029, -0.085657, -0.51858, 0.12166, 0.25109, -0.013237, -0.21298, -0.063969, 1.0713e-14, -1.6404, -5.1377e-13, -4.8189, -2.1684e-11, 
-1.9874, 47.82272, 1.00, -0.59288, 2.812, -6.6854, -171.74, -86.798, -0.031283, -40.117, -62.673, -19.639, -1.8803, 24.977, -7.4802, -68.44, 14.385, 21.535, -0.75333, -27.421, -67.665, -2.3209e-11, -2266, -3.2399e-09, -2325, -1.1403e-07, -0.020241, 0.095999, -0.0041358, 5.8633, 16.957, -0.0030558, -3.9187, -35.033, -0.67047, -0.042796, 0.56847, -0.085124, -0.51923, 0.10913, 0.24506, -0.0057152, -0.20803, -0.048305, -1.6568e-14, -1.6177, -7.7097e-13, -4.749, -2.7134e-11, 
-2.6084, 64.08895, 1.50, -0.78083, 3.2663, -5.105, -229.79, -115.67, -0.04304, -53.325, -83.279, -25.959, -2.8145, 33.023, -10.065, -91.915, 17.237, 28.381, 0.57801, -36.167, -66.521, 2.7865e-11, -4034.4, -3.052e-09, -4138.6, -3.3509e-07, -0.019892, 0.083209, -0.005269, 5.8537, 16.862, -0.0031371, -3.8868, -34.736, -0.66131, -0.047799, 0.56084, -0.085468, -0.52033, 0.097581, 0.241, 0.0032722, -0.20474, -0.026441, 1.1076e-14, -1.6036, -4.0439e-13, -4.7068, -4.4399e-11, 
-3.2238, 139.84362, 2.00, -1.8416, 4.5515, -2.8045, -500.74, -251.36, -0.1047, -115.69, -180.61, -56.057, -6.8249, 71.307, -22.151, -200.96, 33.316, 61.113, 3.9579, -77.821, -51.145, 6.9283e-11, -19085, 3.966e-08, -19581, -2.2569e-10, -0.021501, 0.053138, -0.0065346, 5.846, 16.793, -0.0034973, -3.8645, -34.525, -0.65445, -0.05312, 0.555, -0.086201, -0.52138, 0.086435, 0.23783, 0.010268, -0.2019, -0.0042699, 5.7841e-15, -1.5933, 1.1037e-12, -4.6773, -6.2805e-15, 
