xflr5 v6.47

Plane name :        Custer1-dA03
Polar name :        T1-20.0 m/s-VLM2-16.0kg-x39.1mm
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    5.000     0.000   0.733478   0.021257   0.009310   0.030567   0.000317  -0.020107  -0.205031   0.000043   0.000004   20.0000     0.1363
    5.200     0.000   0.749743   0.022174   0.009387   0.031561   0.000322  -0.020097  -0.207187   0.000045   0.000004   20.0000     0.1352
    5.400     0.000   0.765989   0.023109   0.009460   0.032569   0.000326  -0.020087  -0.209339   0.000047   0.000004   20.0000     0.1342
    5.600     0.000   0.782218   0.024063   0.009531   0.033594   0.000331  -0.020076  -0.211486   0.000050   0.000004   20.0000     0.1331
    5.800     0.000   0.798428   0.025036   0.009605   0.034640   0.000334  -0.020066  -0.213630   0.000053   0.000004   20.0000     0.1322
    6.000     0.000   0.814620   0.026027   0.009688   0.035715   0.000338  -0.020055  -0.215769   0.000056   0.000004   20.0000     0.1312
    6.200     0.000   0.830792   0.027036   0.009773   0.036809   0.000341  -0.020044  -0.217904   0.000059   0.000004   20.0000     0.1303
    6.400     0.000   0.846945   0.028063   0.009859   0.037922   0.000344  -0.020032  -0.220035   0.000063   0.000004   20.0000     0.1295
    6.600     0.000   0.863077   0.029108   0.009945   0.039054   0.000347  -0.020021  -0.222161   0.000065   0.000004   20.0000     0.1286
    6.800     0.000   0.879190   0.030172   0.010025   0.040197   0.000350  -0.020009  -0.224283   0.000067   0.000004   20.0000     0.1279
    7.000     0.000   0.895281   0.031253   0.010112   0.041365   0.000352  -0.019997  -0.226399   0.000070   0.000004   20.0000     0.1271
    7.200     0.000   0.911351   0.032352   0.010205   0.042556   0.000354  -0.019985  -0.228511   0.000072   0.000004   20.0000     0.1263
    7.400     0.000   0.927400   0.033468   0.010303   0.043772   0.000355  -0.019972  -0.230618   0.000075   0.000004   20.0000     0.1256
    7.600     0.000   0.943427   0.034602   0.010402   0.045004   0.000357  -0.019959  -0.232720   0.000079   0.000004   20.0000     0.1250
    7.800     0.000   0.959431   0.035754   0.010501   0.046255   0.000358  -0.019946  -0.234817   0.000082   0.000004   20.0000     0.1243
    8.000     0.000   0.975413   0.036922   0.010591   0.047513   0.000359  -0.019933  -0.236908   0.000084   0.000004   20.0000     0.1237
    8.200     0.000   0.991371   0.038108   0.010685   0.048793   0.000359  -0.019919  -0.238994   0.000087   0.000003   20.0000     0.1230
    8.400     0.000   1.007307   0.039310   0.010792   0.050102   0.000359  -0.019905  -0.241075   0.000090   0.000003   20.0000     0.1224
    8.600     0.000   1.023218   0.040530   0.010910   0.051440   0.000359  -0.019891  -0.243150   0.000093   0.000003   20.0000     0.1219
    8.800     0.000   1.039105   0.041766   0.011024   0.052790   0.000359  -0.019877  -0.245220   0.000097   0.000003   20.0000     0.1213
    9.000     0.000   1.054968   0.043018   0.011126   0.054144   0.000358  -0.019863  -0.247284   0.000100   0.000003   20.0000     0.1208
    9.200     0.000   1.070805   0.044287   0.011230   0.055517   0.000357  -0.019848  -0.249341   0.000104   0.000003   20.0000     0.1203
    9.400     0.000   1.086617   0.045573   0.011353   0.056925   0.000356  -0.019833  -0.251394   0.000109   0.000003   20.0000     0.1198
    9.600     0.000   1.102404   0.046874   0.011493   0.058367   0.000355  -0.019818  -0.253440   0.000113   0.000003   20.0000     0.1193
    9.800     0.000   1.118164   0.048191   0.011622   0.059814   0.000353  -0.019802  -0.255481   0.000115   0.000003   20.0000     0.1188
   10.000     0.000   1.133898   0.049524   0.011738   0.061263   0.000351  -0.019786  -0.257514   0.000120   0.000003   20.0000     0.1183
   10.200     0.000   1.149606   0.050873   0.011885   0.062758   0.000349  -0.019770  -0.259542   0.000129   0.000003   20.0000     0.1179
   10.400     0.000   1.165286   0.052237   0.012056   0.064293   0.000346  -0.019754  -0.261564   0.000136   0.000003   20.0000     0.1175
   10.600     0.000   1.180939   0.053617   0.012208   0.065825   0.000343  -0.019738  -0.263580   0.000138   0.000003   20.0000     0.1170
   10.800     0.000   1.196563   0.055012   0.012396   0.067408   0.000340  -0.019721  -0.265589   0.000149   0.000003   20.0000     0.1166
   11.000     0.000   1.212160   0.056422   0.012610   0.069032   0.000337  -0.019704  -0.267593   0.000161   0.000002   20.0000     0.1162


