xflr5 v6.47

Plane name :        Custer1-dR03
Polar name :        T1-20.0 m/s-VLM2-16.0kg-x39.1mm
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    5.000     0.000   0.039984   0.002144   0.001101   0.003245   0.000000  -0.000000  -0.008044  -0.000000  -0.000000   20.0000     0.1097
    5.200     0.000   0.041098   0.002266   0.001101   0.003366   0.000000  -0.000000  -0.008132  -0.000000  -0.000000   20.0000     0.1086
    5.400     0.000   0.042211   0.002391   0.001100   0.003491   0.000000  -0.000000  -0.008219   0.000000   0.000000   20.0000     0.1075
    5.600     0.000   0.043322   0.002519   0.001103   0.003622   0.000000  -0.000000  -0.008306  -0.000000  -0.000000   20.0000     0.1065
    5.800     0.000   0.044431   0.002650   0.001107   0.003758   0.000000  -0.000000  -0.008393   0.000000   0.000000   20.0000     0.1056
    6.000     0.000   0.045538   0.002785   0.001112   0.003897   0.000000  -0.000000  -0.008479  -0.000000  -0.000000   20.0000     0.1047
    6.200     0.000   0.046643   0.002923   0.001116   0.004039   0.000000  -0.000000  -0.008565  -0.000000  -0.000000   20.0000     0.1038
    6.400     0.000   0.047746   0.003064   0.001121   0.004185   0.000000  -0.000000  -0.008651   0.000000   0.000000   20.0000     0.1030
    6.600     0.000   0.048848   0.003208   0.001126   0.004334   0.000000  -0.000000  -0.008737   0.000000   0.000000   20.0000     0.1022
    6.800     0.000   0.049947   0.003355   0.001130   0.004485   0.000000  -0.000000  -0.008822  -0.000000  -0.000000   20.0000     0.1014
    7.000     0.000   0.051045   0.003506   0.001135   0.004641   0.000000  -0.000000  -0.008907   0.000000   0.000000   20.0000     0.1007
    7.200     0.000   0.052140   0.003659   0.001141   0.004801   0.000000  -0.000000  -0.008992   0.000000   0.000000   20.0000     0.1001
    7.400     0.000   0.053233   0.003816   0.001147   0.004963   0.000000  -0.000000  -0.009077   0.000000   0.000000   20.0000     0.0994
    7.600     0.000   0.054324   0.003976   0.001154   0.005130   0.000000  -0.000000  -0.009161  -0.000000  -0.000000   20.0000     0.0988
    7.800     0.000   0.055413   0.004139   0.001161   0.005299   0.000000  -0.000000  -0.009245   0.000000   0.000000   20.0000     0.0982
    8.000     0.000   0.056499   0.004304   0.001168   0.005472   0.000000  -0.000000  -0.009329   0.000000   0.000000   20.0000     0.0976
    8.200     0.000   0.057583   0.004473   0.001175   0.005648   0.000000  -0.000000  -0.009412   0.000000   0.000000   20.0000     0.0971
    8.400     0.000   0.058665   0.004645   0.001182   0.005827   0.000000  -0.000000  -0.009495   0.000000  -0.000000   20.0000     0.0966
    8.600     0.000   0.059745   0.004820   0.001188   0.006008   0.000000  -0.000000  -0.009578  -0.000000  -0.000000   20.0000     0.0961
    8.800     0.000   0.060821   0.004997   0.001196   0.006193   0.000000  -0.000000  -0.009660  -0.000000  -0.000000   20.0000     0.0956
    9.000     0.000   0.061896   0.005178   0.001203   0.006380   0.000000  -0.000000  -0.009742   0.000000   0.000000   20.0000     0.0952
    9.200     0.000   0.062968   0.005361   0.001209   0.006571   0.000000  -0.000000  -0.009824  -0.000000  -0.000000   20.0000     0.0947
    9.400     0.000   0.064037   0.005548   0.001217   0.006764   0.000000  -0.000000  -0.009905  -0.000000  -0.000000   20.0000     0.0943
    9.600     0.000   0.065103   0.005737   0.001224   0.006961   0.000000  -0.000000  -0.009987   0.000000   0.000000   20.0000     0.0939
    9.800     0.000   0.066167   0.005929   0.001231   0.007160   0.000000  -0.000000  -0.010067   0.000000   0.000000   20.0000     0.0935
   10.000     0.000   0.067229   0.006124   0.001238   0.007362   0.000000  -0.000000  -0.010148  -0.000000  -0.000000   20.0000     0.0931
   10.200     0.000   0.068287   0.006322   0.001245   0.007567   0.000000  -0.000000  -0.010228   0.000000   0.000000   20.0000     0.0928
   10.400     0.000   0.069343   0.006522   0.001253   0.007775   0.000000  -0.000000  -0.010307   0.000000   0.000000   20.0000     0.0924
   10.600     0.000   0.070395   0.006726   0.001260   0.007985   0.000000  -0.000000  -0.010387  -0.000000  -0.000000   20.0000     0.0921
   10.800     0.000   0.071445   0.006932   0.001267   0.008198   0.000000  -0.000000  -0.010466   0.000000   0.000000   20.0000     0.0918
   11.000     0.000   0.072492   0.007140   0.001274   0.008415   0.000000  -0.000000  -0.010544   0.000000   0.000000   20.0000     0.0915
   11.200     0.000   0.073536   0.007352   0.001282   0.008634   0.000000  -0.000000  -0.010623   0.000000  -0.000000   20.0000     0.0912
   11.400     0.000   0.074577   0.007566   0.001290   0.008856   0.000000  -0.000000  -0.010701   0.000000   0.000000   20.0000     0.0909
   11.600     0.000   0.075615   0.007782   0.001298   0.009080   0.000000  -0.000000  -0.010778  -0.000000  -0.000000   20.0000     0.0906
   11.800     0.000   0.076650   0.008002   0.001306   0.009308   0.000000  -0.000000  -0.010855   0.000000   0.000000   20.0000     0.0904
   12.000     0.000   0.077682   0.008224   0.001315   0.009538   0.000000  -0.000000  -0.010932   0.000000   0.000000   20.0000     0.0901
   12.200     0.000   0.078710   0.008448   0.001324   0.009772   0.000000  -0.000000  -0.011009  -0.000000  -0.000000   20.0000     0.0899
   12.400     0.000   0.079735   0.008675   0.001333   0.010008   0.000000  -0.000000  -0.011085   0.000000   0.000000   20.0000     0.0896
   12.600     0.000   0.080757   0.008904   0.001342   0.010246   0.000000  -0.000000  -0.011160  -0.000000  -0.000000   20.0000     0.0894
   12.800     0.000   0.081776   0.009136   0.001352   0.010488   0.000000  -0.000000  -0.011236   0.000000   0.000000   20.0000     0.0892
   13.000     0.000   0.082791   0.009371   0.001362   0.010732   0.000000  -0.000000  -0.011311  -0.000000  -0.000000   20.0000     0.0890
   13.200     0.000   0.083803   0.009607   0.001373   0.010980   0.000000  -0.000000  -0.011385   0.000000   0.000000   20.0000     0.0887
   13.400     0.000   0.084812   0.009847   0.001383   0.011230   0.000000  -0.000000  -0.011459   0.000000   0.000000   20.0000     0.0885
   13.600     0.000   0.085817   0.010088   0.001395   0.011483   0.000000  -0.000000  -0.011533   0.000000   0.000000   20.0000     0.0884
   13.800     0.000   0.086818   0.010332   0.001406   0.011738   0.000000  -0.000000  -0.011606   0.000000   0.000000   20.0000     0.0882
   14.000     0.000   0.087816   0.010578   0.001419   0.011997   0.000000  -0.000000  -0.011679   0.000000   0.000000   20.0000     0.0880
   14.200     0.000   0.088811   0.010827   0.001431   0.012257   0.000000  -0.000000  -0.011752   0.000000   0.000000   20.0000     0.0878
   14.400     0.000   0.089802   0.011077   0.001442   0.012520   0.000000  -0.000000  -0.011824   0.000000   0.000000   20.0000     0.0877
   14.600     0.000   0.090789   0.011330   0.001455   0.012786   0.000000  -0.000000  -0.011896   0.000000   0.000000   20.0000     0.0875
   14.800     0.000   0.091772   0.011585   0.001468   0.013053   0.000000  -0.000000  -0.011967   0.000000   0.000000   20.0000     0.0874
   15.000     0.000   0.092752   0.011843   0.001481   0.013323   0.000000  -0.000000  -0.012038   0.000000   0.000000   20.0000     0.0872
   15.200     0.000   0.093728   0.012102   0.001494   0.013596   0.000000  -0.000000  -0.012108   0.000000   0.000000   20.0000     0.0871
   15.400     0.000   0.094700   0.012364   0.001508   0.013871   0.000000  -0.000000  -0.012178   0.000000   0.000000   20.0000     0.0869
   15.600     0.000   0.095669   0.012627   0.001521   0.014148   0.000000  -0.000000  -0.012248  -0.000000  -0.000000   20.0000     0.0868


