0.163,0.010924,0.12888,0.06864,0.305
0.209,0.011154,0.12564,0.07008,0.375
0.255,0.01123,0.12072,0.07056,0.437
0.299,0.011383,0.11556,0.07152,0.483
0.35,0.011421,0.10908,0.07176,0.531
0.393,0.011211,0.10104,0.07044,0.564
0.435,0.011001,0.0936,0.06912,0.59
0.477,0.010733,0.08688,0.06744,0.615
0.525,0.010065,0.07584,0.06324,0.629
0.561,0.0095493,0.06804,0.06,0.636
0.616,0.0086135,0.0552,0.05412,0.628
0.662,0.0076776,0.04416,0.04824,0.608
0.697,0.0068373,0.03504,0.04296,0.568
0.745,0.0055004,0.02136,0.03456,0.46
0.794,0.0042017,0.00876,0.0264,0.265
0.834,0.0029412,-0.00228,0.01848,-0.105
0.886,0.0012223,-0.0162,0.00768,-1.864
