xflr5 v6.38

Plane name :        Decode1_Wing_modif-dA2
Polar name :        T1-30.0 m/s-VLM2-15.0kg-x39.1mm-proj_area
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    5.200     0.000   0.523385   0.010364   0.010452   0.020817  -0.000496   0.014470  -0.082623   0.000277   0.000278   30.0000     0.0919
    5.400     0.000   0.541537   0.011089   0.010542   0.021631  -0.000481   0.014466  -0.088633   0.000277   0.000278   30.0000     0.0939
    5.600     0.000   0.559676   0.011839   0.010634   0.022473  -0.000466   0.014461  -0.094638   0.000275   0.000278   30.0000     0.0957
    5.800     0.000   0.577801   0.012615   0.010731   0.023345  -0.000451   0.014456  -0.100639   0.000274   0.000278   30.0000     0.0975
    6.000     0.000   0.595911   0.013416   0.010822   0.024238  -0.000437   0.014451  -0.106635   0.000273   0.000278   30.0000     0.0991
    6.200     0.000   0.614006   0.014243   0.010913   0.025156  -0.000422   0.014446  -0.112625   0.000270   0.000278   30.0000     0.1006
    6.400     0.000   0.632085   0.015095   0.011008   0.026103  -0.000407   0.014440  -0.118610   0.000267   0.000278   30.0000     0.1021
    6.600     0.000   0.650148   0.015973   0.011103   0.027077  -0.000393   0.014435  -0.124589   0.000265   0.000278   30.0000     0.1034
    6.800     0.000   0.668194   0.016876   0.011200   0.028077  -0.000378   0.014429  -0.130561   0.000263   0.000278   30.0000     0.1047
    7.000     0.000   0.686223   0.017805   0.011299   0.029104  -0.000363   0.014423  -0.136527   0.000259   0.000278   30.0000     0.1059
    7.200     0.000   0.704235   0.018758   0.011395   0.030153  -0.000349   0.014417  -0.142487   0.000256   0.000278   30.0000     0.1071
    7.400     0.000   0.722228   0.019736   0.011498   0.031235  -0.000334   0.014411  -0.148439   0.000253   0.000278   30.0000     0.1082
    7.600     0.000   0.740203   0.020740   0.011611   0.032351  -0.000319   0.014404  -0.154384   0.000249   0.000278   30.0000     0.1093
    7.800     0.000   0.758159   0.021767   0.011727   0.033495  -0.000304   0.014398  -0.160323   0.000245   0.000278   30.0000     0.1103
    8.000     0.000   0.776095   0.022820   0.011834   0.034654  -0.000290   0.014391  -0.166252   0.000242   0.000278   30.0000     0.1112
    8.200     0.000   0.794011   0.023897   0.011951   0.035848  -0.000275   0.014384  -0.172174   0.000238   0.000278   30.0000     0.1121
    8.400     0.000   0.811907   0.024998   0.012080   0.037078  -0.000260   0.014377  -0.178088   0.000233   0.000278   30.0000     0.1130
    8.600     0.000   0.829781   0.026124   0.012208   0.038331  -0.000246   0.014370  -0.183992   0.000229   0.000278   30.0000     0.1139
    8.800     0.000   0.847634   0.027273   0.012327   0.039600  -0.000231   0.014362  -0.189888   0.000227   0.000278   30.0000     0.1147
    9.000     0.000   0.865466   0.028447   0.012453   0.040900  -0.000216   0.014354  -0.195774   0.000222   0.000278   30.0000     0.1155
    9.200     0.000   0.883275   0.029645   0.012586   0.042230  -0.000202   0.014347  -0.201651   0.000217   0.000278   30.0000     0.1162
    9.400     0.000   0.901060   0.030866   0.012721   0.043586  -0.000187   0.014338  -0.207518   0.000212   0.000278   30.0000     0.1169
    9.600     0.000   0.918823   0.032110   0.012848   0.044959  -0.000173   0.014330  -0.213375   0.000209   0.000278   30.0000     0.1176
    9.800     0.000   0.936562   0.033378   0.012984   0.046362  -0.000158   0.014322  -0.219222   0.000205   0.000278   30.0000     0.1183
   10.000     0.000   0.954276   0.034670   0.013123   0.047792  -0.000143   0.014313  -0.225057   0.000199   0.000278   30.0000     0.1189
   10.200     0.000   0.971966   0.035984   0.013261   0.049245  -0.000129   0.014305  -0.230882   0.000193   0.000278   30.0000     0.1196
   10.400     0.000   0.989631   0.037321   0.013394   0.050716  -0.000114   0.014296  -0.236695   0.000190   0.000278   30.0000     0.1202
   10.600     0.000   1.007270   0.038682   0.013538   0.052220  -0.000100   0.014287  -0.242496   0.000186   0.000277   30.0000     0.1207
   10.800     0.000   1.024883   0.040064   0.013692   0.053757  -0.000085   0.014277  -0.248287   0.000181   0.000277   30.0000     0.1213
   11.000     0.000   1.042469   0.041470   0.013845   0.055314  -0.000071   0.014268  -0.254065   0.000179   0.000277   30.0000     0.1219
   11.200     0.000   1.060028   0.042897   0.013996   0.056893  -0.000056   0.014258  -0.259830   0.000177   0.000277   30.0000     0.1224
   11.400     0.000   1.077560   0.044347   0.014153   0.058500  -0.000042   0.014249  -0.265583   0.000174   0.000277   30.0000     0.1229
   11.600     0.000   1.095064   0.045818   0.014317   0.060135  -0.000027   0.014239  -0.271322   0.000171   0.000277   30.0000     0.1234
   11.800     0.000   1.112539   0.047312   0.014474   0.061786  -0.000013   0.014229  -0.277048   0.000170   0.000276   30.0000     0.1239
   12.000     0.000   1.129986   0.048827   0.014644   0.063471   0.000002   0.014218  -0.282761   0.000167   0.000276   30.0000     0.1244
   12.200     0.000   1.147403   0.050363   0.014818   0.065181   0.000016   0.014208  -0.288460   0.000164   0.000276   30.0000     0.1248
   12.400     0.000   1.164791   0.051921   0.014989   0.066910   0.000030   0.014197  -0.294145   0.000163   0.000276   30.0000     0.1253
   12.600     0.000   1.182148   0.053499   0.015174   0.068673   0.000045   0.014186  -0.299816   0.000158   0.000275   30.0000     0.1257
   12.800     0.000   1.199475   0.055099   0.015365   0.070464   0.000059   0.014175  -0.305472   0.000157   0.000275   30.0000     0.1261
   13.000     0.000   1.216771   0.056719   0.015564   0.072283   0.000073   0.014164  -0.311114   0.000154   0.000275   30.0000     0.1266
   13.200     0.000   1.234035   0.058360   0.015777   0.074137   0.000088   0.014153  -0.316741   0.000149   0.000275   30.0000     0.1270
   13.400     0.000   1.251268   0.060021   0.015990   0.076011   0.000102   0.014141  -0.322353   0.000147   0.000274   30.0000     0.1274
   13.600     0.000   1.268468   0.061702   0.016225   0.077927   0.000116   0.014130  -0.327950   0.000142   0.000274   30.0000     0.1277
   13.800     0.000   1.285636   0.063403   0.016461   0.079864   0.000130   0.014118  -0.333530   0.000138   0.000274   30.0000     0.1281
   14.000     0.000   1.302770   0.065124   0.016720   0.081844   0.000145   0.014106  -0.339096   0.000133   0.000274   30.0000     0.1285
   14.200     0.000   1.319871   0.066864   0.017000   0.083864   0.000159   0.014093  -0.344646   0.000126   0.000273   30.0000     0.1289
   14.400     0.000   1.336938   0.068624   0.017302   0.085926   0.000173   0.014081  -0.350179   0.000118   0.000273   30.0000     0.1292
   14.600     0.000   1.353970   0.070402   0.017636   0.088038   0.000187   0.014068  -0.355696   0.000109   0.000273   30.0000     0.1296
   14.800     0.000   1.370967   0.072200   0.018016   0.090216   0.000201   0.014056  -0.361199   0.000096   0.000272   30.0000     0.1299
   15.000     0.000   1.387930   0.074016   0.018453   0.092469   0.000215   0.014043  -0.366685   0.000077   0.000272   30.0000     0.1302
   15.200     0.000   1.404856   0.075850   0.018984   0.094834   0.000229   0.014030  -0.372158   0.000050   0.000272   30.0000     0.1306
   15.400     0.000   1.421747   0.077703   0.019643   0.097345   0.000243   0.014016  -0.377618   0.000003   0.000271   30.0000     0.1309
   15.600     0.000   1.438601   0.079573   0.020571   0.100145   0.000257   0.014003  -0.383071  -0.000083   0.000271   30.0000     0.1312


