xflr5 v6.38

Plane name :        Decode1_Wing_modif
Polar name :        T1-30.0 m/s-VLM2-15.0kg-x39.1mm
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    5.000     0.000   0.506072   0.009012   0.010375   0.019387   0.002450   0.000084  -0.076344  -0.000785  -0.000785   30.0000     0.0896
    5.200     0.000   0.524277   0.009674   0.010451   0.020125   0.002448   0.000080  -0.082381  -0.000784  -0.000784   30.0000     0.0917
    5.400     0.000   0.542470   0.010360   0.010537   0.020897   0.002446   0.000076  -0.088414  -0.000782  -0.000782   30.0000     0.0937
    5.600     0.000   0.560648   0.011071   0.010626   0.021697   0.002444   0.000071  -0.094442  -0.000781  -0.000780   30.0000     0.0955
    5.800     0.000   0.578813   0.011806   0.010701   0.022507   0.002442   0.000067  -0.100465  -0.000779  -0.000779   30.0000     0.0973
    6.000     0.000   0.596964   0.012565   0.010780   0.023345   0.002440   0.000063  -0.106483  -0.000777  -0.000777   30.0000     0.0989
    6.200     0.000   0.615099   0.013348   0.010866   0.024215   0.002438   0.000058  -0.112495  -0.000776  -0.000776   30.0000     0.1004
    6.400     0.000   0.633220   0.014156   0.010943   0.025098   0.002437   0.000054  -0.118502  -0.000774  -0.000774   30.0000     0.1019
    6.600     0.000   0.651325   0.014987   0.011025   0.026012   0.002435   0.000050  -0.124503  -0.000772  -0.000772   30.0000     0.1033
    6.800     0.000   0.669413   0.015842   0.011106   0.026948   0.002434   0.000045  -0.130498  -0.000771  -0.000770   30.0000     0.1046
    7.000     0.000   0.687485   0.016721   0.011193   0.027914   0.002432   0.000041  -0.136486  -0.000769  -0.000769   30.0000     0.1058
    7.200     0.000   0.705540   0.017623   0.011288   0.028911   0.002431   0.000037  -0.142468  -0.000767  -0.000767   30.0000     0.1070
    7.400     0.000   0.723577   0.018549   0.011376   0.029925   0.002430   0.000033  -0.148443  -0.000765  -0.000765   30.0000     0.1081
    7.600     0.000   0.741595   0.019499   0.011489   0.030988   0.002428   0.000028  -0.154410  -0.000764  -0.000763   30.0000     0.1091
    7.800     0.000   0.759596   0.020471   0.011606   0.032077   0.002427   0.000024  -0.160370  -0.000762  -0.000761   30.0000     0.1101
    8.000     0.000   0.777577   0.021467   0.011716   0.033183   0.002426   0.000020  -0.166322  -0.000760  -0.000759   30.0000     0.1111
    8.200     0.000   0.795539   0.022486   0.011834   0.034320   0.002425   0.000016  -0.172267  -0.000758  -0.000757   30.0000     0.1120
    8.400     0.000   0.813481   0.023528   0.011966   0.035494   0.002424   0.000012  -0.178203  -0.000756  -0.000755   30.0000     0.1129
    8.600     0.000   0.831402   0.024593   0.012110   0.036702   0.002423   0.000007  -0.184130  -0.000754  -0.000753   30.0000     0.1138
    8.800     0.000   0.849303   0.025680   0.012225   0.037905   0.002422   0.000003  -0.190048  -0.000752  -0.000751   30.0000     0.1146
    9.000     0.000   0.867182   0.026790   0.012356   0.039146   0.002421  -0.000001  -0.195956  -0.000750  -0.000749   30.0000     0.1154
    9.200     0.000   0.885040   0.027923   0.012502   0.040424   0.002421  -0.000005  -0.201856  -0.000748  -0.000747   30.0000     0.1161
    9.400     0.000   0.902875   0.029078   0.012649   0.041727   0.002420  -0.000009  -0.207745  -0.000746  -0.000745   30.0000     0.1168
    9.600     0.000   0.920687   0.030255   0.012780   0.043034   0.002419  -0.000013  -0.213624  -0.000744  -0.000743   30.0000     0.1175
    9.800     0.000   0.938477   0.031454   0.012922   0.044376   0.002419  -0.000017  -0.219493  -0.000742  -0.000741   30.0000     0.1182
   10.000     0.000   0.956242   0.032675   0.013086   0.045760   0.002418  -0.000021  -0.225351  -0.000739  -0.000739   30.0000     0.1189
   10.200     0.000   0.973984   0.033917   0.013231   0.047148   0.002418  -0.000025  -0.231198  -0.000737  -0.000737   30.0000     0.1195
   10.400     0.000   0.991701   0.035182   0.013372   0.048554   0.002418  -0.000029  -0.237033  -0.000735  -0.000735   30.0000     0.1201
   10.600     0.000   1.009393   0.036467   0.013524   0.049991   0.002417  -0.000033  -0.242857  -0.000733  -0.000732   30.0000     0.1207
